0-------------597-------------->
|
|
|	-------W---------
|	|		|
|	|		|
|	|		|
148	H		|
|	|		|
|	|		|
|	|		|
|	|		|
|	o----------------
|
v


PARADO

	X(o)	Y(o)	W	H
1	5	2	32	40
2	42	2	33	40
3	79	2	34	40
4	118	2	33	40
5	157	2	32	40
6	194	2	32	40



ANDANDO

	X(o)	Y(o)	W	H
1	4	51	33	42
2	43	51	32	42
3	80	50	35	43
4	119	49	40	40
5	163	49	38	44
6	206	50	35	43
7	248	51	33	42
8	287	50	33	43
9	326	50	32	43
10	362	53	37	40
11	404	49	36	44
12	445	50	35	43



ATIRANDO

	X(o)	Y(o)	W	H
1	4	99	34	41
2	42	98	50	41
3	102	10	54	10
4	160	98	67	40
5	232	98	69	40
6	306	98	51	40
7	363	98	53	40
8	423	97	53	40
9	481	95	50	41
10	534	95	34	41



TIRO

	X(o)	Y(o)	W	H
1	574	107	13	5
